Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,904,84402.487,86626.182,88935.428,91322.396,93782.076,96312.29,98913.865,101590.578,104348.32,107194.234,110134.176,113169.421,116294.056,119493.878,122749.583,126046.394,129379.602,132749.679,136153.413,139588.564,143054.242,146546.051,150064.138,153616.996,157217.098,160872.722,164585.209,168349.907,172162.025,176014.21,179899.93,183815.873,187759.385,191724.656,195705.326,199695.236,203691.039,207688.318,211679.269,215654.918,219608.291,223532.129,227424.95,231292.143,235143.055,238982.497,242814.069,246629.97,250410.988,254131.093,257772.624,261327.364,264802.656,268215.21,271589.912,274944.992,278284.492,281603.462,284900.819,288172.909,291416.322,294632.83,297822.222,300976.113,304083.531,307136.689,310129.852,313064.971,315951.503,318803.128,321628.754
Estimates,905,86230.104,87337.999,88638.898,90087.786,91644.313,93272.85,94942.554,96627.256,98305.348,99959.307,101574.736,103139.196,104641.143,106069.674,107415.585,108674.944,109839.075,110914.4,111931.831,112934.112,113952.998,115002.159,116076.714,117167.416,118257.21,119334.81,120398.988,121459.025,122526.235,123615.934,124739.102,125902.12,127102.238,128330.207,129571.9,130818.121,132067.945,133328.349,134607.751,135918.005,137269.058,138655.188,140076.465,141554.525,143117.473,144780.56,146558.962,148434.007,150346.027,152213.372,153978.571,155614.147,157138.993,158598.763,160062.588,161579.036,163161.138,164787.541,166431.26,168051.323,169617.385,171123.108,172576.224,173977.317,175330.483,176639.49,177903.315,179121.903,180301.919,181452.303,182580.522
Estimates,909,6607.329,6755.308,6895.441,7033.705,7174.571,7320.975,7474.067,7633.448,7797.324,7963.008,8127.884,8290.783,8453.038,8618.962,8794.443,8983.248,9187.083,9403.055,9624.492,9842.25,10049.416,10244.635,10429.456,10603.752,10768.221,10923.962,11069.934,11207.438,11343.235,11486.075,11642.463,11814.881,12001.656,12199.836,12404.349,12611.378,12820.414,13032.079,13244.896,13457.365,13668.255,13876.956,14083.533,14288.378,14492.26,14695.947,14900.54,15106.386,15313.363,15520.787,15729.062,15936.454,16144.88,16362.631,16600.596,16865.944,17162.418,17485.586,17824.363,18162.906,18489.58,18800.32,19097.794,19385.435,19669.415,19954.081,20239.875,20524.752,20807.818,21087.667,21363.329
Estimates,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,947,88602.391,90258.905,92006.487,93842.578,95765.453,97774.451,99869.753,102052.606,104325.005,106689.758,109149.839,111708.057,114366.528,117126.548,119989.157,122956.51,126031.259,129218.591,132526.782,135965.624,139544.089,143264.236,147129.858,151149.114,155330.934,159681.958,164207.563,168906.899,173770.571,178784.559,183939.149,189227.257,194652.918,200230.605,205980.58,211915.483,218045.225,224359.402,230825.759,237399.628,244051.001,250770.993,257575.56,264490.973,271555.512,278799.894,286240.114,293878.899,301718.924,309758.219,318000.98,326450.709,335127.334,344070.753,353331.121,362945.511,372929.772,383279.17,393984.034,405024.883,416385.807,428063.268,440057.309,452358.539,464955.561,477837.402,491000.122,504435.353,518122.129,532035.042,546155.739
Estimates,910,32794.128,33517.806,34265.279,35040.031,35845.21,36683.666,37557.776,38469.742,39421.38,40414.189,41449.644,42529.119,43654.068,44826.224,46047.184,47318.286,48641.81,50018.319,51445.197,52918.408,54435.894,55996.479,57603.531,59264.514,60989.501,62785.936,64657.456,66602.704,68617.56,70695.431,72831.845,75020.059,77261.711,79569.967,81963.193,84451.299,87049.238,89744.865,92488.941,95214.26,97877.182,100455.198,102975.213,105503.93,108135.727,110939.026,113940.484,117121.83,120451.795,123879.3,127368.741,130913.587,134532.069,138242.489,142071.918,146040.433,150152.454,154402.906,158790.929,163312.989,167965.816,172748.675,177660.826,182698.226,187855.652,193127.857,198513.617,204009.134,209603.617,215283.757,221039.935
Estimates,108,1105.628,1131.508,1154.377,1175.947,1197.523,1220.03,1243.949,1269.349,1295.991,1323.307,1350.782,1378.165,1405.732,1434.407,1465.447,1499.555,1537.646,1578.997,1620.716,1658.837,1690.76,1715.245,1733.799,1750.074,1769.219,1794.987,1828.659,1869.247,1915.508,1965.256,2016.889,2069.821,2124.546,2181.826,2242.826,2308.147,2378.099,2451.574,2525.968,2597.831,2664.653,2726.278,2783.421,2835.675,2882.782,2925.148,2962.031,2995.037,3029.76,3073.615,3131.928,3206.898,3297.229,3400.372,3512.136,3629.307,3751.517,3879.444,4012.093,4148.462,4287.851,4429.454,4573.301,4720.469,4872.574,5030.735,5195.257,5365.496,5540.53,5718.988,5899.864
Estimates,174,79.257,81.111,82.805,84.407,85.955,87.482,88.996,90.512,92.036,93.561,95.076,96.592,98.127,99.723,101.432,103.275,105.32,107.55,109.908,112.302,114.68,116.989,119.292,121.795,124.754,128.36,132.709,137.707,143.096,148.542,153.77,158.706,163.428,168.061,172.816,177.83,183.114,188.642,194.387,200.314,206.386,212.622,219.008,225.521,232.133,238.801,245.529,252.307,259.139,265.986,272.853,279.726,286.626,293.594,300.706,308.012,315.525,323.238,331.157,339.284,347.627,356.188,364.951,373.895,382.953,392.089,401.274,410.522,419.834,429.21,438.653
Estimates,262,30.778,31.428,32.144,32.908,33.71,34.562,35.514,36.616,37.94,39.568,41.573,43.995,46.839,50.033,53.503,57.191,61.136,65.406,69.931,74.632,79.49,84.278,89.117,94.716,102.046,111.696,124.193,139.09,154.846,169.327,181.088,189.252,194.469,198.701,204.745,214.501,228.868,246.854,266.203,283.664,296.959,305.223,309.374,311.154,313.126,317.169,323.878,332.631,342.556,352.249,360.759,367.771,373.733,379.387,385.776,393.626,403.23,414.204,425.823,437.042,447.092,455.731,463.209,469.898,476.395,483.117,490.177,497.397,504.712,511.947,518.993
Estimates,232,407.342,413.718,420.901,428.769,437.269,446.338,455.965,466.168,476.99,488.494,500.723,513.699,527.393,541.688,556.45,571.587,587.052,602.893,619.175,636.021,653.507,671.663,690.486,709.967,730.097,750.85,772.176,794.069,816.733,840.41,865.254,890.894,917.086,944.026,972.034,1001.085,1031.88,1063.653,1093.152,1116.056,1129.538,1132.637,1127.113,1116.295,1104.98,1096.984,1092.604,1091.802,1097.53,1113.265,1141.068,1182.579,1236.18,1296.606,1356.484,1410.329,1456.46,1495.914,1529.322,1558.278,1584.072,1606.564,1625.505,1642.103,1657.953,1674.33,1691.699,1710.203,1730.376,1752.711,1777.548
