Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,904,321628.754,324430.554,327201.18,329928.624,332596.072,335190.53,337707.515,340147.471,342507.893,344787.501,346985.287,349099.174,351127.986,353073.036,354936.9,356721.705,358427.9,360055.574,361605.784,363079.93,364479.184,365804.168,367055.923,368236.216,369347.243,370390.639,371367.499,372277.893,373121.362,373896.776,374603.527,375241.619,375811.706,376313.903,376748.413,377115.558,377415.522,377648.612,377814.735,377914.118,377946.71,377913.088,377813.798,377649.286,377419.74,377125.94,376768.489,376348.482,375867.224,375326.05,374726.552,374069.998,373357.712,372591.302,371772.368,370902.534,369983.453,369016.973,368005.146,366950.384,365854.809,364720.333,363548.812,362342.473,361103.383,359833.859,358535.638,357210.517,355860.364,354486.613,353091.069,351675.378,350241.21,348790.24,347324.13,345844.398,344352.636,342850.266,341338.772,339819.426,338293.354
Medium variant,905,182580.522,183689.543,184781.027,185859.448,186929.494,187994.917,189057.143,190117.142,191177.155,192239.308,193304.317,194373.897,195445.732,196511.381,197559.429,198581.39,199574.426,200540.008,201479.491,202395.852,203291.602,204167.066,205022.126,205858.655,206679.038,207485.431,208279.282,209061.992,209835.704,210602.721,211365.13,212124.129,212881.071,213638.347,214398.641,215163.898,215935.089,216712.171,217494.784,218281.956,219072.77,219866.755,220663.299,221460.898,222257.76,223052.063,223842.971,224629.232,225408.274,226177.08,226933.243,227675.681,228403.989,229117.551,229816.052,230499.373,231167.433,231820.428,232459.104,233084.56,233697.945,234299.975,234891.646,235474.826,236051.727,236624.337,237193.703,237760.826,238327.642,238896.308,239468.443,240045.037,240626.507,241212.818,241803.722,242398.973,242998.343,243601.715,244209.042,244820.359,245435.799
Medium variant,909,21363.329,21634.618,21902.16,22166.58,22428.815,22689.585,22949.06,23207.161,23463.804,23718.731,23971.82,24223.251,24472.991,24720.829,24966.487,25209.832,25450.743,25689.344,25926.011,26161.209,26395.15,26628.079,26859.883,27090.586,27320.211,27548.664,27775.997,28002.256,28227.245,28450.78,28672.646,28892.863,29111.383,29328.218,29543.307,29756.733,29968.414,30178.29,30386.399,30592.517,30796.691,30998.876,31198.994,31397.172,31593.475,31787.93,31980.55,32171.262,32360.014,32546.587,32730.865,32912.802,33092.478,33269.88,33445.075,33618.125,33789.041,33957.939,34124.668,34289.233,34451.589,34611.814,34769.952,34926.25,35080.981,35234.426,35386.553,35537.469,35687.104,35835.547,35982.744,36128.69,36273.301,36416.455,36558.132,36698.143,36836.356,36972.579,37106.574,37238.164,37367.1
Medium variant,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,947,546155.739,560471.394,574983.878,589707.754,604666.489,619875.807,635336.106,651037.026,666970.065,683122.997,699484.808,716049.606,732812.372,749763.265,766891.252,784185.959,801638.311,819240.516,836984.828,854863.906,872869.926,890994.808,909228.989,927560.863,945978.026,964469.155,983024.564,1001636.618,1020298.649,1039005.05,1057749.346,1076524.133,1095320.492,1114129.168,1132940.276,1151744.787,1170533.955,1189300.851,1208039.619,1226745.469,1245412.682,1264034.095,1282601.029,1301103.956,1319532.706,1337877.646,1356130.259,1374283.087,1392328.401,1410258.889,1428067.003,1445744.705,1463283.664,1480675.371,1497911.208,1514982.743,1531883.025,1548604.295,1565136.657,1581469.492,1597593.537,1613501.902,1629189.775,1644653.293,1659889.704,1674896.138,1689668.84,1704203.749,1718498.11,1732549.403,1746355.393,1759914.124,1773223.876,1786283.284,1799091.286,1811647.083,1823950.177,1836000.574,1847798.607,1859344.93,1870640.497
Medium variant,910,221039.935,226865.12,232760.186,238733.386,244797.725,250961.566,257225.382,263582.444,270024.888,276541.903,283124.353,289768.295,296471.617,303228.929,310034.687,316884.039,323772.416,330696.61,337654.737,344645.703,351667.879,358718.308,365793.25,372889.352,380003.239,387131.524,394271,401418.691,408571.128,415724.966,422876.773,430023.414,437161.726,444288.599,451400.906,458495.529,465569.25,472619.059,479642.069,486635.513,493596.537,500522.322,507409.751,514255.125,521054.615,527804.776,534502.522,541145.427,547730.875,554256.57,560720.138,567119.314,573451.69,579714.81,585906.31,592023.98,598065.812,604030.094,609915.3,615720.113,621443.159,627083.263,632639.055,638109.056,643491.874,648786.324,653991.51,659106.941,664132.301,669067.399,673912.246,678666.813,683330.966,687904.87,692388.709,696782.758,701087.535,705303.756,709432.436,713474.571,717431.493
Medium variant,108,5899.864,6082.857,6268.146,6455.789,6646.011,6838.978,7034.627,7232.863,7433.783,7637.521,7844.18,8053.778,8266.336,8481.933,8700.671,8922.595,9147.731,9376.02,9607.498,9842.121,10079.862,10320.638,10564.379,10810.927,11060.136,11311.836,11565.889,11822.159,12080.376,12340.278,12601.582,12864.109,13127.729,13392.273,13657.618,13923.616,14190.13,14457.037,14724.163,14991.323,15258.386,15525.239,15791.825,16058.124,16324.139,16589.875,16855.242,17120.189,17384.806,17649.179,17913.364,18177.356,18441.027,18704.184,18966.577,19227.978,19488.267,19747.379,20005.257,20261.882,20517.213,20771.133,21023.512,21274.152,21522.879,21769.515,22013.932,22256.041,22495.628,22732.492,22966.471,23197.447,23425.361,23650.167,23871.86,24090.404,24305.795,24517.979,24726.93,24932.603,25134.927
Medium variant,174,438.653,448.164,457.722,467.338,477.009,486.728,496.489,506.296,516.153,526.066,536.016,546.018,556.073,566.166,576.301,586.472,596.669,606.892,617.151,627.421,637.705,648,658.3,668.594,678.87,689.134,699.358,709.555,719.698,729.781,739.793,749.73,759.58,769.347,779.036,788.65,798.182,807.626,816.986,826.224,835.358,844.382,853.277,862.059,870.73,879.296,887.753,896.098,904.321,912.414,920.374,928.2,935.882,943.418,950.803,958.03,965.103,972.006,978.747,985.323,991.737,997.999,1004.092,1010.016,1015.758,1021.322,1026.705,1031.898,1036.905,1041.746,1046.404,1050.895,1055.206,1059.343,1063.306,1067.096,1070.703,1074.134,1077.4,1080.498,1083.441
Medium variant,262,518.993,525.837,532.524,539.053,545.426,551.651,557.719,563.623,569.359,574.927,580.328,585.574,590.659,595.583,600.354,604.988,609.472,613.822,618.044,622.145,626.12,629.981,633.726,637.358,640.888,644.309,647.628,650.835,653.923,656.88,659.681,662.332,664.836,667.17,669.331,671.31,673.113,674.73,676.166,677.436,678.528,679.46,680.238,680.85,681.325,681.661,681.864,681.962,681.928,681.805,681.591,681.288,680.906,680.461,679.953,679.401,678.793,678.149,677.47,676.751,675.995,675.209,674.394,673.547,672.663,671.748,670.795,669.81,668.793,667.745,666.677,665.575,664.457,663.31,662.145,660.964,659.762,658.543,657.314,656.076,654.834
Medium variant,232,1777.548,1805.282,1835.89,1868.837,1903.283,1938.598,1974.603,2011.426,2049.161,2087.976,2127.999,2169.162,2211.321,2254.322,2298.011,2342.241,2386.908,2431.96,2477.31,2522.87,2568.56,2614.328,2660.087,2705.722,2751.114,2796.194,2840.879,2885.158,2929.026,2972.5,3015.601,3058.308,3100.604,3142.552,3184.2,3225.607,3266.777,3307.695,3348.355,3388.764,3428.891,3468.741,3508.29,3547.509,3586.37,3624.824,3662.862,3700.454,3737.516,3774.002,3809.811,3844.932,3879.362,3913.043,3946.002,3978.212,4009.669,4040.349,4070.243,4099.354,4127.69,4155.245,4182.006,4207.975,4233.165,4257.563,4281.184,4304.028,4326.102,4347.431,4368.028,4387.908,4407.07,4425.527,4443.285,4460.352,4476.734,4492.444,4507.503,4521.93,4535.744
