Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,904,332333.578,335313.058,338249.619,341134.682,343956.409,346705.486,349378.23,351974.062,354489.497,356921.857,359268.742,361527.798,363697.492,365777.893,367769.702,369673.615,371489.227,373215.991,374854.308,376405.041,377868.642,379245.481,380535.666,381740.197,382860.117,383896.359,384849.729,385720.16,386507.386,387210.384,387828.772,388362.975,388813.776,389182.286,389469.489,389676.791,389805.041,389855.198,389828.215,389725.474,389548.121,389297.392,388974.743,388581.688,388119.968,387591.138,386996.945,386338.857,385618.428,384837.249,383996.913,383099.329,382146.35,381139.752,380081.497,378973.474,377817.709,376616.306,375371.974,374087.355,372765.19,371407.596,370016.856,368595.219,367144.979,365668.426,364167.636,362644.723,361101.804,359541.172,357964.843,356374.721,354772.499,353159.81,351538.09,349908.913,348273.591,346633.576,344990.346,343345.241,341699.586
Medium variant,905,186289.122,187418.175,188537.331,189648.883,190754.704,191856.083,192953.434,194046.672,195135.331,196218.486,197294.546,198363.728,199423.701,200467.183,201484.809,202469.653,203419.108,204334.055,205215.315,206065.125,206885.514,207676.965,208439.966,209176.934,209890.893,210584.743,211260.369,211919.823,212566.414,213203.785,213835.253,214462.832,215088.471,215715.174,216346.083,216983.756,217629.547,218284.16,218948.332,219622.421,220306.461,221000.55,221704.077,222415.248,223131.546,223850.685,224571.698,225293.47,226013.395,226728.43,227436.119,228135.196,228825.023,229504.591,230173.031,230829.811,231474.366,232106.721,232727.75,233338.755,233940.927,234534.929,235121.186,235700.265,236272.809,236839.587,237401.204,237958.784,238514.316,239070.149,239628.201,240189.638,240755.038,241324.576,241898.25,242476.237,243058.894,243646.841,244240.99,244842.49,245452.757
Medium variant,909,21314.48,21585.336,21853.036,22118.332,22382.056,22644.92,22907.198,23168.853,23429.647,23689.161,23947.131,24203.514,24458.413,24711.579,24962.495,25211.019,25456.956,25700.446,25941.668,26180.915,26418.428,26654.285,26888.362,27120.818,27351.683,27580.964,27808.756,28035.002,28259.685,28482.586,28703.688,28922.932,29140.336,29355.903,29569.677,29781.624,29991.825,30200.255,30406.883,30611.761,30814.81,31016.118,31215.667,31413.508,31609.801,31804.62,31997.913,32189.737,32379.998,32568.645,32755.62,32940.883,33124.508,33306.291,33486.131,33663.957,33839.749,34013.492,34185.175,34354.649,34521.978,34687.049,34850.057,35011.141,35170.641,35328.77,35485.601,35641.103,35795.463,35948.83,36101.238,36252.749,36403.246,36552.533,36700.506,36846.92,36991.587,37134.29,37274.791,37412.948,37548.51
Medium variant,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,947,548209.866,562379.813,576759.701,591361.279,606203.249,621297.932,636645.576,652237.591,668067.57,684125.882,700403.663,716895.896,733597.602,750499.268,767589.96,784859.604,802299.668,819903.149,837663.099,855573.121,873626.177,891814.67,910129.612,928560.108,947094.264,965721.461,984432.17,1003219.388,1022076.833,1040999.579,1059981.54,1079015.58,1098092.711,1117203.562,1136337.548,1155485.28,1174638.011,1193788.513,1212930.902,1232060.113,1251170.17,1270253.699,1289301.72,1308304.738,1327252.278,1346134.599,1364943.062,1383669.728,1402306.693,1420846.263,1439280.396,1457600.708,1475798.357,1493865.035,1511792.171,1529571.295,1547194.816,1564654.173,1581938.387,1599035.963,1615936.581,1632632.306,1649117.075,1665385.145,1681431.58,1697251.435,1712839.45,1728190.323,1743299.864,1758164.417,1772780.482,1787144.578,1801253.452,1815103.729,1828692.818,1842018.051,1855077.418,1867869.244,1880392.237,1892645.666,1904629.017
Medium variant,910,224365.643,230188.145,236089.051,242074.184,248152.821,254330.611,260607.676,266978.558,273436.807,279973.382,286580.638,293255.147,299994.66,306794.253,313648.657,320553.277,327503.906,334497.692,341533.037,348609.196,355724.839,362877.167,370062.598,377277.843,384519.422,391784.016,399068.326,406369.442,413684.045,421009.011,428340.941,435676.654,443012.772,450345.781,457671.842,464987.396,472288.99,479573.228,486837.046,494077.384,501291.173,508475.173,515625.794,522739.138,529810.855,536837.054,543814.355,550739.8,557610.345,564423.111,571175.204,577863.79,584486.007,591039.294,597521.075,603928.847,610260.042,616512.386,622683.688,628772.112,634775.661,640692.581,646520.637,652257.074,657898.845,663443.251,668888.649,674233.994,679478.582,684622.226,689664.618,694605.196,699443.248,704177.911,708808.636,713334.957,717756.889,722074.615,726288.809,730400.536,734410.999
Medium variant,108,5990.917,6172.572,6356.699,6543.352,6732.721,6924.947,7119.989,7317.774,7518.387,7721.985,7928.647,8138.411,8351.301,8567.386,8786.761,9009.476,9235.55,9464.97,9697.707,9933.762,10173.083,10415.614,10661.279,10909.962,11161.532,11415.854,11672.816,11932.273,12194,12457.718,12723.188,12990.239,13258.738,13528.549,13799.522,14071.533,14344.461,14618.157,14892.455,15167.164,15442.138,15717.269,15992.458,16267.709,16542.98,16818.264,17093.486,17368.553,17643.497,17918.376,18193.183,18467.895,18742.373,19016.456,19289.909,19562.518,19834.161,20104.764,20374.275,20642.684,20909.935,21175.919,21440.46,21703.407,21964.585,22223.797,22480.927,22735.823,22988.254,23237.97,23484.738,23728.414,23968.892,24206.099,24439.978,24670.483,24897.533,25121.043,25340.894,25556.977,25769.145
Medium variant,174,430.942,440.292,449.689,459.154,468.684,478.274,487.926,497.623,507.396,517.217,527.095,537.039,547.037,557.087,567.192,577.333,587.521,597.751,608.017,618.31,628.628,638.976,649.34,659.714,670.088,680.456,690.816,701.154,711.456,721.735,731.945,742.092,752.186,762.216,772.18,782.094,791.937,801.713,811.425,821.034,830.557,839.979,849.295,858.528,867.654,876.691,885.636,894.479,903.224,911.857,920.37,928.752,937.004,945.129,953.117,960.958,968.647,976.185,983.574,990.814,997.9,1004.845,1011.633,1018.261,1024.716,1030.99,1037.087,1043.003,1048.728,1054.28,1059.634,1064.812,1069.804,1074.612,1079.23,1083.66,1087.906,1091.965,1095.839,1099.539,1103.068
Medium variant,262,469.009,476.36,483.574,490.648,497.59,504.407,511.083,517.614,524.017,530.27,536.385,542.365,548.215,553.923,559.52,564.995,570.368,575.62,580.779,585.84,590.813,595.694,600.488,605.194,609.82,614.375,618.838,623.218,627.494,631.663,635.687,639.582,643.33,646.934,650.37,653.628,656.713,659.621,662.354,664.91,667.3,669.515,671.565,673.448,675.177,676.747,678.172,679.448,680.605,681.633,682.567,683.386,684.109,684.755,685.319,685.823,686.256,686.641,686.961,687.222,687.434,687.565,687.648,687.671,687.632,687.516,687.339,687.098,686.781,686.377,685.912,685.356,684.724,684.006,683.209,682.337,681.396,680.362,679.256,678.078,676.822
Medium variant,232,1768.879,1796.18,1826.358,1858.819,1892.701,1927.366,1962.593,1998.538,2035.308,2073.153,2112.217,2152.458,2193.716,2235.867,2278.713,2322.127,2366.008,2410.323,2454.973,2499.886,2544.994,2590.215,2635.503,2680.733,2725.803,2770.62,2815.127,2859.309,2903.165,2946.677,2989.891,3032.759,3075.286,3117.513,3159.506,3201.305,3242.913,3284.317,3325.52,3366.494,3407.236,3447.734,3487.962,3527.889,3567.463,3606.651,3645.422,3683.744,3721.548,3758.779,3795.345,3831.232,3866.413,3900.861,3934.561,3967.496,3999.632,4030.97,4061.489,4091.197,4120.079,4148.142,4175.372,4201.764,4227.329,4252.059,4275.961,4299.038,4321.29,4342.752,4363.429,4383.322,4402.436,4420.743,4438.25,4454.942,4470.813,4485.851,4500.071,4513.465,4526.033
