"","code","sws_description","unpd_code","unpd_description","compliant"
"201","1191","FBSFBS",NA,NA,FALSE
"202","1192","ProdPricesCP(1961-)",NA,NA,FALSE
"203","1193","America Unal",NA,NA,FALSE
"204","1194","FCAP(1961-)",NA,NA,FALSE
"205","1195","NE&NA(LIFDC)",NA,NA,FALSE
"206","1196","IGAG",NA,NA,FALSE
"207","1197","GCC",NA,NA,FALSE
"208","1198","World AT2030",NA,NA,FALSE
"209","1199","AOAD",NA,NA,FALSE
"210","12","Algeria","12","Algeria",TRUE
"211","120","Cameroon","120","Cameroon",TRUE
"212","1200","CEN-SAD",NA,NA,FALSE
"213","1205","EU (25)",NA,NA,FALSE
"214","1216","EU (27)",NA,NA,FALSE
"215","124","Canada","124","Canada",TRUE
"216","1248","China, Main",NA,NA,FALSE
"217","1249","China (excl. Hong Kong and Macao)",NA,NA,FALSE
"218","128","Canton Is",NA,NA,FALSE
"219","132","Cabo Verde","132","Cabo Verde",TRUE
"220","136","Cayman Islands","136","Cayman Islands",TRUE
"221","140","Central African Republic","140","Central African Republic",TRUE
"222","144","Sri Lanka","144","Sri Lanka",TRUE
"223","148","Chad","148","Chad",TRUE
"224",NA,NA,"1500","Low-income countries",FALSE
"225",NA,NA,"1501","Lower-middle-income countries",FALSE
"226",NA,NA,"1502","Upper-middle-income countries",FALSE
"227",NA,NA,"1503","High-income countries",FALSE
"228",NA,NA,"1517","Middle-income countries",FALSE
"229",NA,NA,"1518","No income group available",FALSE
"230","152","Chile","152","Chile",TRUE
"231","154.01","Northern Europe, unspecified for population",NA,NA,FALSE
"232","155.01","Western Europe, unspecified for population",NA,NA,FALSE
"233","156","China","156","China",TRUE
"234","158","China,Taiwan","158","China, Taiwan Province of China",TRUE
"235","16","American Samoa","16","American Samoa",TRUE
"236","162","Christmas Is",NA,NA,FALSE
"237",NA,NA,"1636","Land-locked Developing Countries (LLDC)",FALSE
"238",NA,NA,"1637","Small Island Developing States (SIDS)",FALSE
"239","166","Cocos Is",NA,NA,FALSE
"240","170","Colombia","170","Colombia",TRUE
"241","174","Comoros","174","Comoros",TRUE
"242","175","Mayotte","175","Mayotte",TRUE
"243","178","Congo","178","Congo",TRUE
"244","180","Democratic Republic of the Congo","180","Democratic Republic of the Congo",TRUE
"245",NA,NA,"1802","World Bank income groups",FALSE
"246",NA,NA,"1803","UN development groups",FALSE
"247",NA,NA,"1828","Sustainable Development Goal (SDG) regions",FALSE
"248",NA,NA,"1829","EUROPE AND NORTHERN AMERICA",FALSE
"249",NA,NA,"1830","LATIN AMERICA AND THE CARIBBEAN",FALSE
"250",NA,NA,"1832","EASTERN AND SOUTH-EASTERN ASIA",FALSE
"251",NA,NA,"1833","NORTHERN AFRICA AND WESTERN ASIA",FALSE
