Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,904,168820.62,173280.561,177915.945,182708.889,187647.726,192727.219,197948.716,203319.952,208853.76,214566.081,220469.698,226567.995,232848.851,239282.552,245828.601,252455.956,259154.196,265925.596,272768.309,279684.294,286675.705,293738.018,300869.447,308078.73,315378.243,322777.189,330272.367,337860.408,345548.219,353344.935,361253.205,369274.545,377395.869,385586.589,393806.421,402023.657,410223.342,418404.151,426564.87,434709.739,442840.061,450946.501,459018.54,467054.776,475055.72,483018.265,490943.985,498821.702,506620.709,514301.395,521836.304,529213.205,536441.563,543544.137,550555.168,557501.032,564384.7,571201.897,577962.673,584677.567,591352.388,597994.752,604599.467,611143.928,617596.469,623934.168,630144.555,636233.123,642216.682,648120.957,653962.331
Estimates,905,172602.624,175016.59,177778.5,180813.199,184051.525,187430.408,190892.786,194387.685,197870.2,201301.498,204649.165,207887.183,210996.177,213963.479,216782.887,219454.181,221966.41,224327.3,226580.615,228786.668,230991.858,233213.524,235449.571,237703.033,239970.867,242251.508,244552.738,246882.325,249237.766,251613.702,254007.123,256418.908,258853.997,261318.323,263819.459,266363.451,268958.52,271606.616,274300.348,277028.172,279785.259,282552.418,285339.704,288205.122,291227.258,294453.542,297918.807,301582.347,305324.062,308977.74,312426.773,315615.973,318585.955,321432.409,324299.279,327287.151,330425.331,333668.5,336952.716,340182.402,343287.419,346251.164,349093.38,351824.039,354464.237,357031.048,359524.647,361942.268,364295.996,366600.964,368869.647
Estimates,909,12975.865,13265.763,13542.553,13817.618,14099.233,14392.715,14700.262,15020.97,15351.561,15686.752,16021.645,16353.987,16686.159,17026.039,17384.649,17768.715,18181.495,18617.467,19063.891,19503.171,19922.256,20318.272,20694.148,21050.1,21387.963,21710.314,22015.42,22305.443,22592.042,22890.529,23212.096,23560.99,23934.652,24328.848,24736.253,25151.042,25572.662,26001.748,26434.91,26868.204,27298.69,27725.276,28147.938,28566.216,28979.986,29389.647,29796.493,30201.922,30607.325,31014.254,31425.103,31837.595,32254.895,32691.383,33165.792,33690.208,34271.061,34900.968,35561.158,36225.145,36873.081,37498.332,38104.763,38695.761,39278.668,39858.746,40435.646,41006.505,41570.842,42128.035,42677.813
Estimates,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,947,179006.546,182372.67,185911.883,189614.203,193473.891,197489.487,201663.86,206004.212,210521.182,215228.173,220138.015,225259.913,230596.444,236142.445,241888.488,247830.873,253971.838,260325.261,266913.874,273766.763,280908.043,288345.782,296084.909,304134.766,312504.447,321200.533,330231.803,339600.734,349297.041,359304.857,369613.683,380212.44,391106.826,402321.964,413893.095,425840.821,438183.628,450901.791,463931.627,477185.74,490604.828,504170.642,517912.792,531879.679,546142.775,560759.432,575759.606,591147.903,606928.406,623097.114,639661.377,656627.196,674033.14,691957.733,710499.95,729733.018,749688.413,770356.69,791717.347,813730.478,836363.76,859610.5,883472.723,907933.88,932975.034,958577.179,984733.478,1011429.053,1038627.178,1066283.427,1094365.629
Estimates,910,66144.561,67602.806,69108.598,70668.602,72288.967,73975.35,75732.809,77565.976,79478.887,81475.215,83558.179,85730.801,87995.988,90356.447,92814.705,95372.694,98034.488,100801.276,103668.749,106630.235,109682.215,112823.882,116060.914,119404.211,122868.531,126465.051,130199.725,134072.483,138081.102,142220.609,146488.368,150873.054,155377.016,160026.415,164856.953,169887.491,175147.668,180613.705,186187.4,191734.774,197168.375,202443.249,207611.672,212802.619,218199.322,223934.219,230058.535,236535.969,243305.382,250267.694,257353.364,264549.325,271890.371,279411.223,287163.499,295185.417,303485.336,312053.205,320886.366,329976.922,339317.833,348907.766,358745.948,368825.191,379136.626,389671.275,400426.755,411396.727,422563.363,433904.943,445405.606
Estimates,108,2308.92,2360.448,2406.04,2449.086,2492.195,2537.157,2584.908,2635.639,2688.744,2743.2,2797.932,2852.438,2907.321,2964.427,3026.29,3094.379,3170.49,3253.218,3336.927,3413.904,3479.074,3529.997,3569.666,3605.126,3646.431,3700.88,3770.871,3854.445,3949.266,4051.234,4157.298,4266.52,4379.724,4497.533,4621.103,4750.837,4886.743,5027.138,5168.698,5307.069,5438.957,5564.926,5685.565,5798.053,5898.967,5987.043,6060.111,6122.13,6185.562,6267.124,6378.871,6525.545,6704.113,6909.154,7131.693,7364.862,7607.849,7862.214,8126.102,8397.668,8675.602,8958.406,9245.988,9540.291,9844.299,10160.03,10487.995,10827.019,11175.374,11530.58,11890.784
Estimates,174,159.459,163.139,166.541,169.752,172.853,175.903,178.946,181.992,185.043,188.097,191.121,194.139,197.198,200.372,203.753,207.424,211.478,215.897,220.575,225.325,230.054,234.644,239.235,244.208,250.104,257.29,265.953,275.9,286.634,297.447,307.829,317.606,326.946,336.096,345.466,355.337,365.76,376.654,387.963,399.632,411.594,423.872,436.448,449.274,462.277,475.394,488.627,501.953,515.385,528.848,542.357,555.888,569.479,583.211,597.228,611.627,626.425,641.62,657.229,673.252,689.692,706.569,723.871,741.505,759.39,777.424,795.592,813.892,832.322,850.886,869.601
Estimates,262,62.001,63.306,64.75,66.269,67.872,69.589,71.497,73.702,76.353,79.612,83.636,88.498,94.204,100.628,107.583,114.963,122.866,131.397,140.462,149.887,159.659,169.372,179.224,190.568,205.181,224.183,248.556,277.479,308.008,336.085,358.96,374.937,385.271,393.802,406.017,425.613,454.361,490.33,528.999,563.864,590.398,606.844,615.054,618.495,622.366,630.388,643.654,660.863,680.463,699.975,717.584,733.015,746.942,759.641,771.603,783.254,794.563,805.451,816.358,827.823,840.198,853.674,868.137,883.293,898.695,913.993,929.112,944.099,958.923,973.56,988
Estimates,232,822.35,835.005,849.258,864.895,881.76,899.752,918.849,939.081,960.543,983.338,1007.59,1033.328,1060.486,1088.854,1118.159,1148.189,1178.875,1210.302,1242.635,1276.123,1310.945,1347.176,1384.797,1423.761,1463.983,1505.439,1547.975,1591.62,1636.769,1683.939,1733.416,1784.561,1836.823,1890.558,1946.305,2003.937,2064.794,2127.422,2185.605,2231.141,2258.653,2266.358,2257.596,2238.626,2218.43,2204.222,2196.464,2195.179,2206.432,2237.405,2292.416,2374.722,2481.058,2600.973,2719.803,2826.659,2918.205,2996.536,3062.779,3119.92,3170.435,3213.972,3250.1,3281.449,3311.449,3342.818,3376.557,3412.893,3452.786,3497.117,3546.421
