Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Mediumvariant,904,653962.331,659743.614,665450.783,671063.341,676552.502,681895.966,687085.8,692121.504,696997.356,701709.371,706254.072,710626.98,714825.467,718850.873,722706.585,726395.321,729917.168,733271.541,736460.108,739484.934,742347.785,745049.64,747591.563,749976.359,752207.342,754287.016,756217.17,757998.098,759628.725,761107.206,762432.366,763604.621,764625.541,765496.176,766217.951,766792.356,767220.622,767503.766,767642.998,767639.576,767494.789,767210.461,766788.575,766230.976,765539.707,764717.011,763765.397,762687.362,761485.637,760163.343,758723.478,757169.298,755504.072,753731.106,751853.856,749876.019,747801.152,745633.273,743377.142,741037.693,738619.998,736127.987,733565.707,730937.699,728248.401,725502.236,722703.26,719855.201,716962.073,714027.776,711055.918,708050.074,705013.684,701950.041,698862.184,695753.28,692626.189,689483.909,686329.117,683164.587,679992.981
Mediumvariant,905,368869.647,371107.709,373318.359,375508.309,377684.196,379850.992,382010.595,384163.819,386312.483,388457.782,390598.863,392737.627,394869.42,396978.556,399044.246,401051.047,402993.54,404874.077,406694.814,408460.979,410177.132,411844.038,413462.085,415035.609,416569.92,418070.163,419539.644,420981.833,422402.112,423806.498,425200.368,426586.957,427969.534,429353.515,430744.729,432147.654,433564.636,434996.343,436443.116,437904.39,439379.232,440867.298,442367.381,443876.149,445389.295,446902.753,448414.667,449922.693,451421.651,452905.503,454369.361,455810.872,457229.012,458622.139,459989.087,461329.188,462641.787,463927.134,465186.845,466423.317,467638.87,468834.911,470012.815,471175.091,472324.541,473463.932,474594.898,475719.606,476841.96,477966.442,479096.633,480234.677,481381.558,482537.388,483701.97,484875.197,486057.245,487248.562,488450.03,489662.84,490888.543
Mediumvariant,909,42677.813,43219.97,43755.226,44284.914,44810.878,45334.504,45856.296,46375.996,46893.408,47407.873,47918.975,48426.779,48931.42,49432.364,49928.989,50420.849,50907.701,51389.812,51867.692,52342.084,52813.616,53282.354,53748.245,54211.415,54671.845,55129.639,55584.787,56037.287,56486.903,56933.357,57376.367,57815.823,58251.747,58684.139,59113.031,59538.423,59960.279,60378.587,60793.289,61204.275,61611.532,62014.983,62414.683,62810.698,63203.287,63592.533,63978.454,64361.031,64740.026,65115.207,65486.468,65853.736,66217.009,66576.16,66931.212,67282.095,67628.839,67971.418,68309.862,68643.883,68973.564,69298.883,69620.012,69937.405,70251.615,70563.179,70872.171,71178.574,71482.595,71784.368,72084.013,72381.414,72676.544,72969.032,73258.634,73545.051,73827.934,74106.825,74381.372,74651.109,74915.613
Mediumvariant,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediumvariant,947,1094365.629,1122851.252,1151743.566,1181069.162,1210869.777,1241173.748,1271981.65,1303274.629,1335037.662,1367248.904,1399888.452,1432945.542,1466410.008,1500262.562,1534481.201,1569045.568,1603937.999,1639143.673,1674647.906,1710437.076,1746496.045,1782809.518,1819358.553,1856120.96,1893072.32,1930190.566,1967456.763,2004855.994,2042375.552,2080004.59,2117730.903,2155539.755,2193413.258,2231332.721,2269277.809,2307230.096,2345171.986,2383089.282,2420970.462,2458805.557,2496582.799,2534287.806,2571902.797,2609408.679,2646784.975,2684012.271,2721073.358,2757952.841,2794635.093,2831105.117,2867347.393,2903345.423,2939082.042,2974540.398,3009703.438,3044554.056,3079077.829,3113258.426,3147075.066,3180505.473,3213530.079,3246134.115,3278306.853,3310038.426,3341321.212,3372147.543,3402508.23,3432394.026,3461797.969,3490713.801,3519135.826,3547058.698,3574477.313,3601387.039,3627784.112,3653665.09,3679027.588,3703869.816,3728190.85,3751990.523,3775269.477
Mediumvariant,910,445405.606,457053.249,468849.214,480807.661,492950.571,505292.185,517833.05,530561.011,543461.708,556515.273,569704.993,583023.457,596466.288,610023.199,623683.327,637437.312,651276.328,665194.296,679187.764,693254.93,707392.704,721595.507,735855.798,750167.187,764522.682,778915.504,793339.362,807788.119,822255.242,836733.964,851217.711,865700.108,880174.551,894634.394,909072.728,923482.946,937858.226,952192.251,966479.086,980712.934,994887.723,1008997.502,1023035.565,1036994.254,1050865.507,1064641.84,1078316.901,1091885.245,1105341.218,1118679.675,1131895.332,1144983.108,1157937.724,1170754.133,1183427.396,1195952.824,1208325.864,1220542.455,1232598.993,1244492.204,1256218.822,1267775.814,1279159.659,1290366.145,1301390.701,1312229.584,1322880.135,1333340.903,1343610.847,1353689.643,1363576.866,1373271.99,1382774.215,1392082.81,1401197.331,1410117.687,1418844.414,1427378.397,1435721.238,1443875.033,1451842.506
Mediumvariant,108,11890.784,12255.433,12624.84,12999.146,13378.739,13763.922,14154.613,14550.631,14952.174,15359.502,15772.822,16192.196,16617.638,17049.322,17487.424,17932.084,18383.28,18840.991,19305.201,19775.884,20252.941,20736.265,21225.652,21720.888,22221.664,22727.675,23238.701,23754.431,24274.387,24797.992,25324.761,25854.346,26386.463,26920.824,27457.144,27995.156,28534.594,29075.195,29616.612,30158.487,30700.526,31242.503,31784.291,32325.832,32867.119,33408.145,33948.728,34488.751,35028.302,35567.556,36106.549,36645.249,37183.402,37720.653,38256.475,38790.494,39322.423,39852.133,40379.533,40904.571,41427.153,41947.055,42463.972,42977.567,43487.467,43993.309,44494.863,44991.856,45483.878,45970.459,46451.205,46925.861,47394.249,47856.262,48311.838,48760.892,49203.323,49639.019,50067.834,50489.583,50904.082
Mediumvariant,174,869.601,888.451,907.419,926.501,945.702,965.003,984.417,1003.928,1023.54,1043.275,1063.114,1083.061,1103.114,1123.262,1143.49,1163.802,1184.189,1204.641,1225.16,1245.722,1266.331,1286.977,1307.634,1328.303,1348.969,1369.592,1390.175,1410.704,1431.159,1451.511,1471.737,1491.825,1511.771,1531.564,1551.215,1570.744,1590.124,1609.339,1628.399,1647.263,1665.915,1684.355,1702.572,1720.582,1738.384,1755.986,1773.394,1790.58,1807.546,1824.275,1840.745,1856.943,1872.888,1888.553,1903.923,1918.99,1933.748,1948.19,1962.316,1976.134,1989.643,2002.844,2015.72,2028.27,2040.473,2052.312,2063.791,2074.895,2085.637,2096.019,2106.045,2115.707,2125.01,2133.952,2142.529,2150.748,2158.603,2166.096,2173.238,2180.037,2186.505
Mediumvariant,262,988,1002.187,1016.097,1029.695,1043.019,1056.061,1068.8,1081.243,1093.373,1105.196,1116.724,1127.944,1138.863,1149.505,1159.868,1169.978,1179.845,1189.448,1198.823,1207.979,1216.929,1225.673,1234.215,1242.56,1250.712,1258.679,1266.469,1274.056,1281.422,1288.533,1295.373,1301.922,1308.167,1314.099,1319.702,1324.935,1329.826,1334.35,1338.521,1342.341,1345.823,1348.974,1351.792,1354.298,1356.495,1358.411,1360.039,1361.415,1362.535,1363.441,1364.153,1364.67,1365.02,1365.207,1365.271,1365.214,1365.053,1364.79,1364.432,1363.972,1363.42,1362.781,1362.041,1361.221,1360.291,1359.264,1358.135,1356.908,1355.571,1354.137,1352.578,1350.933,1349.174,1347.314,1345.359,1343.3,1341.146,1338.905,1336.574,1334.155,1331.655
Mediumvariant,232,3546.421,3601.467,3662.244,3727.66,3795.986,3865.963,3937.197,4009.959,4084.476,4161.141,4240.213,4321.622,4405.037,4490.187,4576.722,4664.362,4752.923,4842.28,4932.282,5022.762,5113.555,5204.554,5295.584,5386.45,5476.923,5566.811,5656.007,5744.462,5832.185,5919.181,6005.49,6091.063,6175.889,6260.063,6343.709,6426.91,6509.687,6592.014,6673.872,6755.257,6836.135,6916.484,6996.252,7075.399,7153.831,7231.473,7308.284,7384.192,7459.069,7532.766,7605.152,7676.174,7745.769,7813.909,7880.567,7945.717,8009.306,8071.322,8131.73,8190.558,8247.771,8303.384,8357.37,8409.74,8460.486,8509.622,8557.141,8603.064,8647.398,8690.188,8731.465,8771.229,8809.507,8846.271,8881.539,8915.286,8947.543,8978.298,9007.573,9035.388,9061.774
