GroupCode,CountryGroup,Country,M49Code
5801,Least Developed Countries,Kiribati,296
5801,Least Developed Countries,Lao People's Democratic Republic,418
5801,Least Developed Countries,Lesotho,426
5801,Least Developed Countries,Liberia,430
5801,Least Developed Countries,Madagascar,450
5801,Least Developed Countries,Malawi,454
5801,Least Developed Countries,Mali,466
5801,Least Developed Countries,Mauritania,478
5801,Least Developed Countries,Mozambique,508
5801,Least Developed Countries,Myanmar,104
5801,Least Developed Countries,Nepal,524
5801,Least Developed Countries,Niger,562
5801,Least Developed Countries,Rwanda,646
5801,Least Developed Countries,Sao Tome and Principe,678
5801,Least Developed Countries,Senegal,686
5801,Least Developed Countries,Sierra Leone,694
5801,Least Developed Countries,Solomon Islands,90
5801,Least Developed Countries,Somalia,706
5801,Least Developed Countries,South Sudan,728
5801,Least Developed Countries,Sudan,729
5801,Least Developed Countries,Sudan (former),736
5801,Least Developed Countries,Timor-Leste,626
5801,Least Developed Countries,Togo,768
5801,Least Developed Countries,Tuvalu,798
5801,Least Developed Countries,Uganda,800
5801,Least Developed Countries,United Republic of Tanzania,834
5801,Least Developed Countries,Vanuatu,548
5801,Least Developed Countries,Yemen,887
5801,Least Developed Countries,Zambia,894
5815,Low Income Food Deficit Countries,Afghanistan,4
5815,Low Income Food Deficit Countries,Bangladesh,50
5815,Low Income Food Deficit Countries,Benin,204
5815,Low Income Food Deficit Countries,Burkina Faso,854
5815,Low Income Food Deficit Countries,Burundi,108
5815,Low Income Food Deficit Countries,Cameroon,120
5815,Low Income Food Deficit Countries,Central African Republic,140
5815,Low Income Food Deficit Countries,Chad,148
5815,Low Income Food Deficit Countries,Comoros,174
5815,Low Income Food Deficit Countries,Congo,178
5815,Low Income Food Deficit Countries,Côte d'Ivoire,384
5815,Low Income Food Deficit Countries,Democratic People's Republic of Korea,408
5815,Low Income Food Deficit Countries,Democratic Republic of the Congo,180
5815,Low Income Food Deficit Countries,Djibouti,262
5815,Low Income Food Deficit Countries,Eritrea,232
5815,Low Income Food Deficit Countries,Ethiopia,231
5815,Low Income Food Deficit Countries,Ethiopia PDR,230
5815,Low Income Food Deficit Countries,Gambia,270
5815,Low Income Food Deficit Countries,Ghana,288
5815,Low Income Food Deficit Countries,Guinea,324
5815,Low Income Food Deficit Countries,Guinea-Bissau,624
5815,Low Income Food Deficit Countries,Haiti,332
5815,Low Income Food Deficit Countries,India,356
5815,Low Income Food Deficit Countries,Kenya,404
5815,Low Income Food Deficit Countries,Kyrgyzstan,417
5815,Low Income Food Deficit Countries,Lesotho,426
5815,Low Income Food Deficit Countries,Liberia,430
5815,Low Income Food Deficit Countries,Madagascar,450
5815,Low Income Food Deficit Countries,Malawi,454
5815,Low Income Food Deficit Countries,Mali,466
5815,Low Income Food Deficit Countries,Mauritania,478
5815,Low Income Food Deficit Countries,Mozambique,508
5815,Low Income Food Deficit Countries,Nepal,524
5815,Low Income Food Deficit Countries,Nicaragua,558
5815,Low Income Food Deficit Countries,Niger,562
5815,Low Income Food Deficit Countries,Rwanda,646
5815,Low Income Food Deficit Countries,Sao Tome and Principe,678
5815,Low Income Food Deficit Countries,Senegal,686
5815,Low Income Food Deficit Countries,Sierra Leone,694
5815,Low Income Food Deficit Countries,Solomon Islands,90
5815,Low Income Food Deficit Countries,Somalia,706
5815,Low Income Food Deficit Countries,South Sudan,728
5815,Low Income Food Deficit Countries,Sudan,729
5815,Low Income Food Deficit Countries,Sudan (former),736
5815,Low Income Food Deficit Countries,Syrian Arab Republic,760
5815,Low Income Food Deficit Countries,Tajikistan,762
5815,Low Income Food Deficit Countries,Togo,768
5815,Low Income Food Deficit Countries,Uganda,800
5815,Low Income Food Deficit Countries,United Republic of Tanzania,834
5815,Low Income Food Deficit Countries,Uzbekistan,860
5815,Low Income Food Deficit Countries,Viet Nam,704
5815,Low Income Food Deficit Countries,Yemen,887
5815,Low Income Food Deficit Countries,Zimbabwe,716
5502,Melanesia,Fiji,242
5502,Melanesia,New Caledonia,540
5502,Melanesia,Papua New Guinea,598
5502,Melanesia,Solomon Islands,90
5502,Melanesia,Vanuatu,548
5503,Micronesia,Guam,316
5503,Micronesia,Kiribati,296
5503,Micronesia,Marshall Islands,584
5503,Micronesia,Micronesia (Federated States of),583
5503,Micronesia,Nauru,520
5503,Micronesia,Northern Mariana Islands,580
5503,Micronesia,Pacific Islands Trust Territory,582
5503,Micronesia,Palau,585
5102,Middle Africa,Angola,24
5102,Middle Africa,Cameroon,120
5102,Middle Africa,Central African Republic,140
5102,Middle Africa,Chad,148
5102,Middle Africa,Congo,178
5102,Middle Africa,Democratic Republic of the Congo,180
5102,Middle Africa,Equatorial Guinea,226
5102,Middle Africa,Gabon,266
5102,Middle Africa,Sao Tome and Principe,678
5817,Net Food Importing Developing Countries,Afghanistan,4
5817,Net Food Importing Developing Countries,Angola,24
5817,Net Food Importing Developing Countries,Antigua and Barbuda,28
5817,Net Food Importing Developing Countries,Bangladesh,50
5817,Net Food Importing Developing Countries,Barbados,52
5817,Net Food Importing Developing Countries,Benin,204
5817,Net Food Importing Developing Countries,Bhutan,64
5817,Net Food Importing Developing Countries,Botswana,72
5817,Net Food Importing Developing Countries,Burkina Faso,854
5817,Net Food Importing Developing Countries,Burundi,108
5817,Net Food Importing Developing Countries,Cambodia,116
5817,Net Food Importing Developing Countries,Central African Republic,140
5817,Net Food Importing Developing Countries,Chad,148
5817,Net Food Importing Developing Countries,Comoros,174
5817,Net Food Importing Developing Countries,Côte d'Ivoire,384
5817,Net Food Importing Developing Countries,Cuba,192
5817,Net Food Importing Developing Countries,Democratic Republic of the Congo,180
5817,Net Food Importing Developing Countries,Djibouti,262
5817,Net Food Importing Developing Countries,Dominica,212
5817,Net Food Importing Developing Countries,Dominican Republic,214
5817,Net Food Importing Developing Countries,Egypt,818
5817,Net Food Importing Developing Countries,El Salvador,222
5817,Net Food Importing Developing Countries,Eritrea,232
5817,Net Food Importing Developing Countries,Eswatini,748
5817,Net Food Importing Developing Countries,Ethiopia,231
5817,Net Food Importing Developing Countries,Ethiopia PDR,230
5817,Net Food Importing Developing Countries,Gabon,266
5817,Net Food Importing Developing Countries,Gambia,270
5817,Net Food Importing Developing Countries,Grenada,308
5817,Net Food Importing Developing Countries,Guinea,324
5817,Net Food Importing Developing Countries,Guinea-Bissau,624
5817,Net Food Importing Developing Countries,Haiti,332
5817,Net Food Importing Developing Countries,Honduras,340
